issue,docs_with_hits,total_hits,pct_docs
due_process,379,9879,0.3299
notice,699,28023,0.6084
hearing,595,24737,0.5178
recusal,302,23562,0.2628
associate_judge,353,13556,0.3072
mandamus,386,16646,0.3359
appeal,796,25338,0.6928
jurisdiction,563,20674,0.49
removal_remand,362,5474,0.3151
federal_court,915,30931,0.7963
civil_rights_1983,134,1746,0.1166
rico,222,61212,0.1932
protective_order,383,22397,0.3333
temporary_orders,352,21934,0.3064
custody,566,47463,0.4926
property_financial,761,69445,0.6623
fraud_perjury,469,17900,0.4082
discovery,322,3611,0.2802
sanctions_contempt,259,4794,0.2254
injunction,305,7721,0.2654
child_support_oag,302,6067,0.2628
law_enforcement,448,4163,0.3899
ex_parte,262,3639,0.228
lockout_eviction,397,9762,0.3455
