corpus,issue,docs_with_hits,total_hits,pct_docs
research,due_process,182,4250,0.3784
research,notice,281,5146,0.5842
research,hearing,264,6371,0.5489
research,recusal,111,12230,0.2308
research,associate_judge,127,6183,0.264
research,mandamus,141,3820,0.2931
research,appeal,459,13741,0.9543
research,jurisdiction,315,11855,0.6549
research,removal_remand,186,1942,0.3867
research,federal_court,398,16417,0.8274
research,civil_rights_1983,110,1496,0.2287
research,rico,193,60338,0.4012
research,protective_order,162,4752,0.3368
research,temporary_orders,115,2884,0.2391
research,custody,246,6192,0.5114
research,property_financial,400,22354,0.8316
research,fraud_perjury,261,12360,0.5426
research,discovery,140,573,0.2911
research,sanctions_contempt,108,1845,0.2245
research,injunction,127,1128,0.264
research,child_support_oag,82,669,0.1705
research,law_enforcement,247,979,0.5135
research,ex_parte,137,1107,0.2848
research,lockout_eviction,191,2477,0.3971
