month,filings,issue_docs_total,federal_court,notice,property_financial,appeal,hearing,custody,jurisdiction,mandamus,temporary_orders,associate_judge,protective_order,child_support_oag
2012-12,1,4,1,0,0,1,1,1,0,0,0,0,0,0
2014-02,12,38,12,2,0,12,0,0,0,10,0,0,0,0
2016-02,5,19,5,1,0,5,0,0,0,4,0,2,0,1
2017-02,3,29,3,2,1,3,1,1,1,3,1,1,1,1
2020-03,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-04,1,2,1,0,0,0,0,0,0,0,0,0,1,0
2021-08,2,6,1,1,0,0,1,1,1,0,0,0,0,0
2022-10,1,9,1,1,1,0,1,1,1,0,0,0,0,1
2022-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12,3,26,3,3,3,0,3,3,3,0,0,0,0,3
2023-05,1,14,1,1,1,1,1,1,1,1,0,1,0,0
2023-11,1,3,0,1,1,0,0,1,0,0,0,0,0,0
2023-12,29,179,10,19,20,11,14,16,5,0,8,0,15,9
2024-02,48,257,37,29,23,1,16,20,7,0,18,6,13,11
2024-03,39,242,36,16,24,5,13,21,10,2,18,15,15,9
2024-04,43,465,42,26,23,34,24,25,18,30,23,21,28,17
2024-05,10,53,9,6,4,7,2,1,4,6,3,2,2,3
2024-06,12,129,12,11,12,8,7,11,11,1,7,2,5,6
2024-07,5,35,2,4,5,3,3,3,2,1,2,2,1,1
2024-08,3,7,2,0,1,2,0,0,0,2,0,0,0,0
2024-09,21,130,12,11,9,7,6,9,4,4,7,5,7,5
2024-10,42,228,18,14,9,12,17,12,5,11,11,19,9,14
2024-11,27,177,18,17,10,9,10,9,7,4,8,6,5,10
2024-12,12,112,9,9,10,7,4,9,7,4,6,0,7,6
2025-02,16,150,12,8,11,7,10,10,6,3,8,6,5,6
2025-03,72,649,62,61,43,30,44,42,34,15,23,21,23,19
2025-04,108,1093,91,80,61,62,68,50,58,53,40,55,35,49
2025-05,53,654,51,42,36,44,35,29,30,39,26,33,23,26
2025-06,4,29,4,3,2,3,2,2,1,1,2,0,2,0
2025-07,16,84,3,4,3,16,5,5,2,15,3,2,1,1
2025-08,14,78,6,6,4,8,4,2,3,7,1,4,2,1
2025-09,23,200,17,15,14,13,12,11,10,11,2,10,1,2
2025-10,7,84,7,4,5,4,4,5,4,2,3,4,3,3
2025-11,17,213,16,10,14,10,13,12,9,9,12,7,11,9
2025-12,9,76,8,7,6,7,6,3,1,3,2,0,3,3
